symbol,10DayAverageTradingVolume,13WeekPriceReturnDaily,26WeekPriceReturnDaily,3MonthAverageTradingVolume,52WeekHigh,52WeekHighDate,52WeekLow,52WeekLowDate,52WeekPriceReturnDaily,5DayPriceReturnDaily,assetTurnoverAnnual,assetTurnoverTTM,beta,bookValuePerShareAnnual,bookValuePerShareQuarterly,bookValueShareGrowth5Y,capitalSpendingGrowth5Y,cashFlowPerShareAnnual,cashFlowPerShareTTM,cashPerSharePerShareAnnual,cashPerSharePerShareQuarterly,currentDividendYieldTTM,currentEv/freeCashFlowAnnual,currentEv/freeCashFlowTTM,currentRatioAnnual,currentRatioQuarterly,dividendGrowthRate5Y,dividendPerShare5Y,dividendPerShareAnnual,dividendYield5Y,dividendYieldIndicatedAnnual,dividendsPerShareTTM,ebitdPerShareTTM,ebitdaCagr5Y,ebitdaInterimCagr5Y,epsBasicExclExtraItemsAnnual,epsBasicExclExtraItemsTTM,epsExclExtraItemsAnnual,epsExclExtraItemsTTM,epsGrowth3Y,epsGrowth5Y,epsGrowthQuarterlyYoy,epsGrowthTTMYoy,epsInclExtraItemsAnnual,epsInclExtraItemsTTM,epsNormalizedAnnual,focfCagr5Y,grossMargin5Y,grossMarginAnnual,grossMarginTTM,inventoryTurnoverAnnual,inventoryTurnoverTTM,longTermDebt/equityAnnual,longTermDebt/equityQuarterly,marketCapitalization,monthToDatePriceReturnDaily,netIncomeEmployeeAnnual,netIncomeEmployeeTTM,netInterestCoverageAnnual,netInterestCoverageTTM,netMarginGrowth5Y,netProfitMargin5Y,netProfitMarginAnnual,netProfitMarginTTM,operatingMargin5Y,operatingMarginAnnual,operatingMarginTTM,payoutRatioAnnual,payoutRatioTTM,pbAnnual,pbQuarterly,pcfShareTTM,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraTTM,peInclExtraTTM,peNormalizedAnnual,pfcfShareAnnual,pfcfShareTTM,pretaxMargin5Y,pretaxMarginAnnual,pretaxMarginTTM,priceRelativeToS&P50013Week,priceRelativeToS&P50026Week,priceRelativeToS&P5004Week,priceRelativeToS&P500Ytd,psAnnual,psTTM,ptbvAnnual,ptbvQuarterly,quickRatioAnnual,receivablesTurnoverAnnual,receivablesTurnoverTTM,revenueEmployeeAnnual,revenueEmployeeTTM,revenueGrowth3Y,revenueGrowth5Y,revenueGrowthQuarterlyYoy,revenueGrowthTTMYoy,revenuePerShareAnnual,revenuePerShareTTM,revenueShareGrowth5Y,roaRfy,roaa5Y,roae5Y,roaeTTM,roeRfy,roeTTM,roi5Y,roiAnnual,roiTTM,tangibleBookValuePerShareAnnual,tangibleBookValuePerShareQuarterly,tbvCagr5Y,totalDebt/totalEquityAnnual,totalDebt/totalEquityQuarterly,yearToDatePriceReturnDaily,update_date
AAPL,68.06848,-9.47928,-1.02245,1884.27493,182.9,2022-01-04,129.075,2022-06-16,-8.5402,-1.73169,1.12064,1.12064,1.23224,3.17824,3.17824,-13.43208,-2.97116,6.79335,6.79335,3.02971,3.02971,0.60766,28.45495,28.44392,0.87936,0.87936,6.26585,0.795,0.9,0.76329,0.62116,0.9,7.99598,13.03462,12.79425,6.15461,6.14448,6.1132,6.1021,27.18424,21.57502,4.0586,8.82732,6.1132,6.1021,6.1132,0.90498,40.29693,43.30963,43.30963,38.78987,38.78987,196.8957,195.2933,2356151.0,-3.41072,627691.8,608554.9,1126.764,1126.764,3.71269,23.59486,25.30964,25.30964,27.52461,30.28874,30.28874,14.8222,14.8222,46.60129,46.60129,21.24439,24.48214,24.2279,24.27197,24.27197,24.2279,24.3903,24.3903,27.81549,30.20404,30.20404,-8.77016,6.80124,-7.85323,-1.25877,5.97511,5.97511,46.49809,46.49809,0.84724,14.48085,14.48085,2480050.0,2404439.0,14.86768,11.45915,8.1406,7.79379,24.15364,24.15364,17.22293,28.36292,21.12137,87.99243,175.4593,175.4593,28.36292,31.65106,47.04427,47.04427,3.17824,3.17824,-17.6806,238.8104,236.9534,-16.59064,2022-12-04
AMC,28.7159,-18.10251,-15.28095,533.02164,38.42,2021-11-29,5.05,2022-11-09,-68.56529,1.62382,0.23964,0.4039,1.66003,-3.48166,-4.99013,,-26.18732,-1.76955,-0.65999,3.09838,1.32464,,,,1.04609,0.55787,,,,,,,0.19809,,-27.45839,-2.6583,-1.37015,-2.6583,-1.37015,,,49.74128,84.37281,-2.6583,-1.37015,-2.63325,3.40532,64.75257,70.50516,67.82415,28.34981,,,,3881.323,12.76276,-391008.5,-269304.0,-2.15047,-0.7655,,-32.89571,-50.23142,-20.04545,-21.94446,-33.91353,-10.4687,,,,,,,,,,,,,-31.29471,-50.63491,-19.89394,-17.46094,-63.29244,11.77762,-46.7938,1.53539,0.94847,,,1.02858,19.48285,34.38824,778414.2,1343467.0,-22.6427,-4.81809,26.88679,169.4541,5.29503,6.34292,-30.53104,-12.03722,-12.28108,-333.4944,,,-8.09629,-14.3898,-14.34429,-9.67797,-8.67039,-9.73491,,,,-55.0553,2022-12-04
AMD,77.96896,-17.59158,-26.52063,1776.74937,164.44,2021-11-30,54.58,2022-10-13,-52.38276,1.67794,1.53725,0.57819,1.98639,6.21127,33.83499,69.42586,31.34549,2.8991,3.62241,2.98923,3.46836,,36.13042,23.97957,2.02429,2.15513,,,,,,,3.79694,,98.37348,2.60676,1.68635,2.57282,1.66837,98.49956,,-94.58696,-48.35168,2.57282,1.66837,2.56932,-26.254,43.39394,48.24754,46.5481,5.07156,4.62986,0.01334,4.52129,121152.4,25.10823,224626.3,145935.5,,36.50725,,11.56619,19.20409,9.90888,13.35767,22.15529,11.5516,,,12.09737,2.22078,22.71324,40.30006,29.20531,45.03797,45.03797,29.24509,37.62498,35.54943,12.6254,22.32567,11.05222,-16.946,-44.39546,17.41008,-38.18496,7.37206,5.30719,20.31396,33.45828,1.56321,6.88768,6.95976,1169680.0,1472774.0,36.40628,30.92495,29.02852,53.7032,13.37185,15.50289,21.18513,29.52154,16.67851,35.67754,7.37054,47.42763,5.72919,25.95217,42.86879,6.58429,4.94118,2.24628,,4.175,4.52129,-47.78318,2022-12-04
AMZN,80.64903,-28.55832,-18.87726,1537.57943,181.5,2021-11-26,85.88,2022-11-09,-47.82162,-1.51819,1.2668,1.2388,1.20256,13.58006,13.48196,46.36798,50.89608,5.51184,4.8644,9.43507,5.7523,,,,1.13576,0.93659,,,,,,,5.02353,34.74212,30.70738,3.29684,1.11188,3.23922,1.08362,48.37742,67.60082,-9.27189,-57.62276,3.23922,1.08362,3.23922,28.78351,40.38907,42.03251,43.04438,9.6516,8.46481,51.07888,56.16013,952936.5,-8.81492,22959.39,7050.995,,7.72083,31.37847,5.06941,7.10056,2.25771,5.09617,5.29541,2.58288,,,6.87847,6.92852,19.0908,101.6297,28.83719,86.20181,86.20181,28.83719,,,5.90578,8.12031,1.98331,-27.99865,-39.06923,-12.47608,-33.67195,2.02829,1.89756,8.09171,8.12247,0.90633,16.49714,15.56216,323346.2,312307.8,26.35602,28.14073,14.69967,9.65707,45.61379,48.93934,26.55952,8.99502,7.17994,25.67802,8.77572,28.80565,2.79685,11.90412,14.10294,4.14999,11.56847,11.50431,51.72425,52.29918,59.43385,-43.97092,2022-12-04
BAC,28.33494,10.7846,1.83684,851.78994,50.11,2022-02-10,29.32,2022-10-13,-20.8482,1.42588,,,1.39467,33.43298,33.58785,4.77338,,3.79218,3.40215,43.10823,25.54393,2.25464,,,,,13.04037,0.618,0.78,1.88208,2.33422,0.85,5.2485,1.46974,0.2873,3.59778,3.17656,3.57041,3.1611,11.04017,19.12716,-5.69346,-5.27688,3.57041,3.1611,3.58845,3.82448,,,,,,100.4143,99.20007,302445.7,4.60599,151914.5,,,,11.00356,28.29397,35.88478,29.6384,33.67378,38.12687,33.40254,21.51716,26.67285,1.24118,1.25846,10.85786,9.50714,10.55901,11.92623,11.92623,10.50593,,,33.67378,38.12687,33.40254,11.65247,-7.57131,0.9645,0.31426,3.39396,3.27046,1.52102,1.52441,,,,423339.7,,-10.62222,-1.3626,59.0548,28.90788,10.41234,11.29506,6.5641,1.06787,0.99962,9.68987,10.57757,12.37697,0.89013,,,,24.61601,24.72468,0.75655,183.6251,187.4456,-15.26186,2022-12-04
CMCSA,22.05453,-3.125,-19.27083,592.5083,53.315,2021-12-06,28.39,2022-10-13,-31.28373,4.05721,0.42339,0.45622,1.00249,21.19725,18.57238,13.25675,2.44168,5.93855,4.207,1.92159,1.31725,2.97335,22.38714,219.2578,0.84527,0.83632,9.57936,0.83,1.0,1.87106,3.02945,1.06,8.20789,5.61123,5.74632,3.08879,1.16887,3.04233,1.14868,6.30409,11.31467,-221.4509,-63.01334,3.04233,1.14868,2.99785,10.37887,68.3223,66.9631,68.41376,,,101.869,119.0296,154129.5,12.31884,77501.4,26619.05,10.90853,4.9568,1.22908,11.79717,11.88641,4.15061,18.97264,17.88633,11.82401,32.57998,87.89785,1.68182,1.91952,8.12834,25.09261,11.71799,31.03562,31.03562,11.89186,12.27439,14.84298,15.88212,16.40504,7.83675,-2.3661,-19.75729,8.11466,-16.14744,1.32431,1.27158,,,,9.91608,10.14658,652016.8,641328.1,7.18754,7.58853,-1.48195,6.55256,25.00752,26.89245,8.59144,5.03261,4.97912,15.33729,6.13819,15.19084,1.8936,5.66871,5.6811,2.12484,-17.61393,-17.75728,,104.0878,121.5789,-29.16749,2022-12-04
CRM,6.70634,-7.18998,-7.1169,150.12021,299.21,2021-11-30,136.04,2022-11-04,-46.96891,2.44505,0.32805,0.32078,1.10285,58.77755,60.15816,40.85393,9.09384,4.86858,4.25577,10.6542,13.54655,,38.2087,42.63492,1.04874,1.05807,,,,,,,3.79338,35.62169,31.88655,1.51204,0.54557,1.48255,0.535,-0.11642,26.29341,-87.93771,-78.77978,1.48255,0.535,1.58416,31.49579,74.14621,73.47879,72.61255,,,18.6871,15.66774,153350.0,-5.68301,22190.29,7288.451,,,7.32171,8.24461,5.4507,1.8281,2.52414,1.87604,0.01705,,,2.60899,2.54911,36.14188,337.2986,103.4367,286.6355,286.6355,96.80209,29.02707,26.99349,6.99495,5.78288,0.8663,-6.46292,-38.07349,-8.85375,-28.56491,5.78854,5.23022,126.1102,44.34644,,2.63275,5.07223,407108.9,398689.2,25.87814,25.71449,21.76656,24.55924,27.19918,29.40822,17.67742,1.78812,3.17075,5.44813,0.92719,2.8989,0.58641,4.50933,2.36733,0.73762,1.22952,3.46146,,18.88321,17.63619,-39.65687,2022-12-04
CVX,7.41323,12.41662,3.04016,188.99569,189.67,2022-11-14,110.74,2021-12-20,56.75399,-0.21185,0.64927,0.9088,1.19731,72.06268,82.06291,-1.30444,-14.95574,17.50729,26.11478,2.94071,7.98029,3.04845,24.82453,12.51559,1.2593,1.39639,5.82919,4.806,5.31,4.31969,3.092,5.6,28.19035,18.60787,18.93714,8.15501,17.652,8.13802,17.57771,1.72302,,81.99214,240.9639,8.13802,17.57771,8.22261,-7.42132,42.92644,42.5652,39.18522,14.91896,18.25167,22.37267,13.49887,355209.4,1.54782,347366.9,805540.6,,,,5.12724,10.08252,15.11176,5.22508,11.17052,17.23151,65.1456,31.67384,2.54917,2.23853,7.00887,8.13902,22.57306,10.45074,10.45074,22.34084,32.43329,14.21122,7.24181,13.90628,20.63421,13.29728,83.04785,-1.10352,85.31466,2.28275,1.56442,2.63739,2.3063,1.02396,10.41191,11.634,3445240.0,5330555.0,-0.66811,7.08913,49.24798,68.36099,81.04479,116.9986,6.55963,6.54629,2.83949,4.85261,23.20009,11.5418,13.73351,3.1975,7.32378,15.74649,69.79043,79.65139,-0.90916,22.55675,14.89854,56.54026,2022-12-04
DG,1.4258,8.84817,12.63245,35.05471,262.1,2022-04-21,183.42,2022-05-20,15.12778,0.50795,1.31138,1.31577,0.38361,27.22413,27.43527,6.74422,13.82315,12.89395,12.96443,1.49915,1.44641,0.54037,39.19834,46.96053,1.05427,1.01534,13.14023,1.32,1.68,0.86069,0.85527,1.39,16.45808,9.54658,9.34493,10.2417,10.09526,10.17434,10.03842,19.73457,18.07847,10.62607,-3.84305,10.17434,10.03842,10.18298,5.37267,31.10552,31.59808,31.42125,4.31005,3.96886,66.62532,69.33354,58023.82,0.85473,14948.49,14203.38,20.46186,19.45338,4.26252,6.60991,7.01111,6.5499,9.11622,9.41155,8.83214,16.34761,19.15853,9.4486,9.37589,19.38322,24.60858,25.28223,25.62455,25.62455,25.26078,41.35216,68.91501,8.69506,8.95122,8.37813,9.70087,34.43928,-4.30046,29.1238,1.69559,1.64158,80.18249,89.23968,0.11532,363.7494,320.9016,213211.5,216848.8,10.12189,9.25103,8.96529,4.99339,145.1175,153.0798,13.25113,9.19422,10.24777,30.15745,37.56647,37.13055,8.61819,13.1356,11.8481,11.38192,3.14607,2.88252,,66.62532,83.88693,9.07433,2022-12-04
DISH,3.07366,-9.14253,-28.25112,93.31237,37.26,2022-01-12,12.55,2022-10-13,-52.59259,3.96361,0.41467,0.3787,1.81281,29.35294,32.01388,24.28803,-9.15142,5.10447,4.19499,10.21562,1.73461,,12.84575,,1.15459,0.49527,,,,,,,4.8233,4.07013,0.1341,4.56696,3.62558,3.78994,3.01197,8.30173,3.84633,-26.11482,-27.72371,3.78994,3.01197,3.79425,5.37587,31.67565,34.35371,32.67185,25.64943,22.08907,124.6578,105.0848,8491.299,7.31053,175424.7,136817.2,145.4338,,6.14354,11.37996,13.73487,11.61322,15.33544,17.8929,13.95091,,,0.54509,0.49978,3.17558,3.81456,4.2217,5.31214,5.31214,4.21691,3.11842,,15.59966,18.00088,14.67539,-8.43077,-44.64049,0.66887,-41.6121,0.47488,0.49707,,,1.07249,17.47257,17.36541,1277222.0,1178117.0,9.49439,3.28563,-7.95984,-5.05297,28.11216,26.8001,-2.12216,5.6955,4.97283,15.7938,12.02101,16.45106,4.39794,5.94819,6.73845,5.14367,-26.05215,-38.26331,,137.937,114.4523,-50.67818,2022-12-04
