symbol,name,country,finnhubIndustry,marketCapitalization,ipo,exchange,mic_code,security_type,shareOutstanding,currency,company_peers,logo,weburl,phone,figi_identifier,update_date
AAPL,Apple Inc,US,Technology,2351378.906992,1980-12-12,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,15908.1,USD,AAPL - DELL - HPQ - 1337.HK - HPE - NTAP - WDC - PSTG - SMCI - XRX,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAPL.svg,https://www.apple.com/,14089961010.0,BBG000B9XRY4,2022-12-05
AMC,AMC Entertainment Holdings Inc,US,Media,4264.648728999999,2013-12-18,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,521.9892059500002,USD,WMG - LYV - EDR - ROKU - WWE - AMC - MSGS - MSGE - LGF.A - CNK - DIS,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMC.svg,https://investor.amctheatres.com/,19132132000.0,BBG000TDCVT6,2022-12-05
AMD,Advanced Micro Devices Inc,US,Semiconductors,120894.46422399998,1979-10-15,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,1612.36,USD,NVDA - AVGO - TXN - QCOM - INTC - AMD - ADI - MU - MRVL - XLNX,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMD.svg,https://www.amd.com/en,14087494000.0,BBG000BBQCY0,2022-12-05
AMZN,Amazon.com Inc,US,Retail,960281.690945,1997-05-15,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,10201.7,USD,AMZN - CPNG - EBAY - DASH - CHWY - ETSY - W - XMTR - RVLV - SEAT,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMZN.svg,https://www.amazon.com/,12062661000.0,BBG000BVPV84,2022-12-05
BAC,Bank of America Corp,US,Banking,289449.3659,1979-06-05,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,8022.43,USD,JPM - BAC - WFC - C - USB - FINN - CIBH - HFBA - HABK,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BAC.svg,https://www.bankofamerica.com,17043868486.0,BBG000BCTLF6,2022-12-05
CMCSA,Comcast Corp,US,Media,155037.439713,1972-06-29,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,4323.404375,USD,CMCSA - CHTR - FWONA - SIRI - LBRDA - DISH - CABO - ATUS - WOW - TVTV,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CMCSA.svg,https://corporate.comcast.com/,12152861700.0,BBG000BFT2L4,2022-12-05
CRM,Salesforce Inc,US,Technology,144559.997559,2004-06-23,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,1000.0,USD,CTXS - ADBE - CRM - INTU - AZPN - SNPS - CDNS - ROP - WDAY - ADSK,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CRM.svg,https://www.salesforce.com/,14159017000.0,BBG000BN2DC2,2022-12-05
CVX,Chevron Corp,US,Energy ,350046.584311,1921-06-24,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,1933.64,USD,XOM - CVX - OXY - UNTC,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CVX.svg,https://www.chevron.com/,19258421000.0,BBG000K4ND22,2022-12-05
DG,Dollar General Corp,US,Retail,54543.309364,2009-11-13,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,223.575,USD,TGT - DG - DLTR - OLLI - FRG - BIG - TUEM,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DG.svg,https://www.dollargeneral.com/,16158554000.0,BBG000NV1KK7,2022-12-05
DISH,DISH Network Corp,US,Media,8257.788758,1995-06-21,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,530.706208,USD,CMCSA - CHTR - FWONA - SIRI - LBRDA - DISH - CABO - ATUS - WOW - TVTV,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DISH.svg,https://ir.dish.com/,13037231000.0,BBG000C2YHG9,2022-12-05
