symbol,year,month,change,mspr
AAPL,2022,10,-1297681,-30.30565
AAPL,2022,9,814342,100.0
AAPL,2022,8,-250366,-79.69429
AAPL,2022,5,-26276,-100.0
AAPL,2022,4,161963,15.008345
AAPL,2022,2,-14048,-32.804035
AAPL,2021,11,-36005,-100.0
AAPL,2021,10,174834,7.144071
AAPL,2021,8,-87000,-0.85037404
AAPL,2021,5,-4010,-100.0
AAPL,2021,4,10104,9.817525
AAPL,2021,2,361,0.8763625
AAPL,2020,12,-408,-100.0
AAPL,2020,11,9956,9.481544
AAPL,2020,10,232360,8.407655
AAPL,2020,8,-10715,-0.94763047
AAPL,2020,4,9590,100.0
AAPL,2019,11,6999,7.250671
AAPL,2019,10,-337,-0.058170345
AAPL,2019,2,9126,75.0
AAPL,2019,1,35000,100.0
AAPL,2018,11,3944,15.904509
AAPL,2018,10,-32532,-3.9228265
AAPL,2018,8,-100448,-7.775829
AAPL,2018,7,-15652,-100.0
AAPL,2018,6,0,0.0
AAPL,2018,5,-49623,-41.482826
AAPL,2018,4,76042,12.042976
AAPL,2018,2,45950,92.64113
AAPL,2017,8,-117023,-8.944162
AAPL,2017,7,-11949,-100.0
AAPL,2017,3,0,0.0
AAPL,2017,2,-374155,-49.86905
AAPL,2017,1,-114010,-100.0
AAPL,2016,12,-18565,-100.0
AAPL,2016,11,-393363,-100.0
AAPL,2016,10,177333,14.863251
AAPL,2016,3,537288,25.585142
AAPL,2016,2,11047,73.338646
AAPL,2015,7,3800,100.0
AAPL,2015,6,-24085,-100.0
AAPL,2015,5,-34574,-7.0034356
AAPL,2015,4,186506,19.272205
AAPL,2015,3,23409,17.903496
AAPL,2015,2,22004,21.459362
AAPL,2015,1,-3804,-100.0
AAPL,2014,12,-12732,-100.0
AAPL,2014,11,-81543,-100.0
AAPL,2014,10,4348,33.059612
AAPL,2014,6,3642,12.608184
AAPL,2014,5,-613,-2.9738514
AAPL,2014,4,2460,19.87397
AAPL,2014,3,317,1.460493
AAPL,2014,2,870,12.432123
AAPL,2014,1,-2789,-80.86402
AAPL,2013,12,9129,22.33613
AAPL,2013,10,1228,19.711075
AAPL,2013,6,112903,32.527794
AAPL,2013,3,3371,36.926277
AAPL,2013,2,2709,100.0
AAPL,2013,1,59082,100.0
AAPL,2012,12,2020,36.861313
AAPL,2012,11,-50995,-57.585682
AAPL,2012,10,4147,36.52779
AAPL,2012,9,18840,29.594723
AAPL,2012,8,-7500,-13.043478
AAPL,2012,7,1,0.00499975
AAPL,2012,5,-100,-100.0
AAPL,2011,3,-27596,-25.647793
AAPL,2011,2,-35855,-72.95757
AAPL,2011,1,-9348,-86.1408
AAPL,2010,3,161265,7.540205
AAPL,2010,2,-21900,-100.0
AAPL,2010,1,-10000,-100.0
AMC,2022,8,2832576,99.159836
AMC,2022,3,-63389,-7.940986
AMC,2022,2,1039341,35.517982
AMC,2022,1,128517,4.7450266
AMC,2021,12,-311834,-68.00674
AMC,2021,11,-604463,-24.863571
AMC,2021,8,-45405,-100.0
AMC,2021,6,-199106,-100.0
AMC,2021,5,-29495,-100.0
AMC,2021,4,-45404,-100.0
AMC,2021,3,-14296066,-98.294106
AMC,2021,2,44042724,91.44164
AMC,2021,1,-111300,-0.16675259
AMC,2020,12,-8788490,-82.66855
AMC,2020,10,1143849,38.092354
AMC,2019,3,17496,53.840473
AMC,2019,2,79463,81.635315
AMC,2019,1,123013,65.20251
AMC,2018,10,-17500,-100.0
AMC,2018,9,-75826927,-100.0
AMC,2018,7,-17500,-100.0
AMC,2018,3,62979,58.7902
AMC,2018,2,72263,85.499115
AMC,2018,1,12605,45.988544
AMC,2017,12,-2000,-100.0
AMC,2017,9,35000,100.0
AMC,2017,8,27000,100.0
AMC,2017,7,3500,100.0
AMC,2017,6,10000,100.0
AMC,2017,3,39884,71.69513
AMC,2017,2,31747,100.0
AMC,2017,1,158842,49.033176
AMC,2016,8,10000,100.0
AMC,2016,3,10000,100.0
AMC,2016,2,0,0.0
AMC,2016,1,17123,57.365406
AMC,2015,6,-5021,-100.0
AMC,2015,5,-9000,-100.0
AMC,2015,3,0,0.0
AMC,2015,1,15312,100.0
AMC,2014,1,10004,100.0
AMC,2013,12,151658,100.0
AMD,2022,10,-10425,-100.0
AMD,2022,8,308628,4.82935
AMD,2022,7,-47812,-30.89269
AMD,2022,6,-232169,-26.309444
AMD,2022,5,-34422,-35.300995
AMD,2022,4,18606,19.689306
AMD,2022,3,127521,26.755558
AMD,2022,2,334988,49.764835
AMD,2022,1,-10000,-100.0
AMD,2021,12,0,0.0
AMD,2021,11,-17792,-2.5458095
AMD,2021,10,-64013,-32.165234
AMD,2021,8,545860,28.449116
AMD,2021,7,-31000,-18.674698
AMD,2021,6,-17055,-3.7589345
AMD,2021,5,4933,0.9922938
AMD,2021,4,-16000,-6.3399982
AMD,2021,3,-17186,-3.2780569
AMD,2021,2,15947,3.4480374
AMD,2021,1,-16000,-10.884354
AMD,2020,12,0,0.0
