symbol,period,strongBuy,buy,hold,sell,strongSell
AAPL,2022-12-01,13,28,7,1,0
AAPL,2022-11-01,14,29,6,1,0
AAPL,2022-10-01,14,29,6,1,0
AAPL,2022-09-01,16,29,7,1,0
AMC,2022-12-01,0,0,5,7,3
AMC,2022-11-01,0,0,5,7,3
AMC,2022-10-01,0,0,5,7,3
AMC,2022-09-01,0,0,5,7,3
AMD,2022-12-01,14,21,13,0,0
AMD,2022-11-01,12,19,15,0,0
AMD,2022-10-01,12,20,13,0,0
AMD,2022-09-01,12,21,13,0,0
AMZN,2022-12-01,19,35,3,1,0
AMZN,2022-11-01,20,34,4,1,0
AMZN,2022-10-01,21,34,4,1,0
AMZN,2022-09-01,22,36,4,1,0
BAC,2022-12-01,3,17,11,0,0
BAC,2022-11-01,4,17,10,0,0
BAC,2022-10-01,4,17,10,0,0
BAC,2022-09-01,4,17,10,0,0
CMCSA,2022-12-01,8,20,14,2,1
CMCSA,2022-11-01,8,20,14,2,1
CMCSA,2022-10-01,7,21,15,2,1
CMCSA,2022-09-01,7,21,15,2,1
CRM,2022-12-01,14,29,11,0,0
CRM,2022-11-01,15,29,10,0,0
CRM,2022-10-01,15,30,10,0,0
CRM,2022-09-01,17,30,7,0,1
CVX,2022-12-01,6,13,13,2,0
CVX,2022-11-01,6,14,13,1,0
CVX,2022-10-01,6,15,12,1,0
CVX,2022-09-01,6,15,12,1,0
DG,2022-12-01,10,17,7,2,0
DG,2022-11-01,10,17,7,2,0
DG,2022-10-01,10,17,7,2,0
DG,2022-09-01,10,17,7,2,0
DISH,2022-12-01,6,10,6,2,0
DISH,2022-11-01,6,11,6,1,0
DISH,2022-10-01,6,11,6,1,0
DISH,2022-09-01,6,12,6,1,0
EA,2022-12-01,12,18,11,0,0
EA,2022-11-01,12,18,11,0,0
EA,2022-10-01,12,18,11,0,0
EA,2022-09-01,12,21,9,0,0
EFX,2022-12-01,5,9,10,0,0
EFX,2022-11-01,5,8,11,0,0
EFX,2022-10-01,6,9,9,0,0
EFX,2022-09-01,6,9,9,0,0
F,2022-12-01,5,8,12,3,1
F,2022-11-01,5,8,12,3,1
F,2022-10-01,5,7,14,2,1
F,2022-09-01,5,7,14,2,1
GME,2022-12-01,0,0,3,4,2
